Author,context_left,context_right
Devlin et al.,". LinkBERT is
especially effective for multi-hop reasoning and
few-shot QA (+5% absolute improvement on
HotpotQA and TriviaQA), and our biomedical
LinkBERT sets new states of the art on various
BioNLP tasks (+7% on BioASQ and USMLE).
We release our pretrained models, LinkBERT
andBioLinkBERT , as well as code and data.1
1 Introduction
Pretrained language models (LMs), like BERT and
GPTs (","Devlin et al., 2019; Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from"
 Brown et al.,"ally effective for multi-hop reasoning and
few-shot QA (+5% absolute improvement on
HotpotQA and TriviaQA), and our biomedical
LinkBERT sets new states of the art on various
BioNLP tasks (+7% on BioASQ and USMLE).
We release our pretrained models, LinkBERT
andBioLinkBERT , as well as code and data.1
1 Introduction
Pretrained language models (LMs), like BERT and
GPTs (Devlin et al., 2019;"," Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from text corpora and pr"
"Bommasani
et al.","ur biomedical
LinkBERT sets new states of the art on various
BioNLP tasks (+7% on BioASQ and USMLE).
We release our pretrained models, LinkBERT
andBioLinkBERT , as well as code and data.1
1 Introduction
Pretrained language models (LMs), like BERT and
GPTs (Devlin et al., 2019; Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (","Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from text corpora and produce informative
representations for downstream tasks (Petroni et al.,
2019; Bosselut et al., 2019; Raffel et al., 2020).
Equal senior authorship.
1Available at https://github.com/michiyasunaga/
LinkBERT .
Language Model[CLS] The Tidal Basin [SEP] [MASK] [MASK] trees... ... [SEP] Segment AS"
"Devlin
et al.","ntroduction
Pretrained language models (LMs), like BERT and
GPTs (Devlin et al., 2019; Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (","Devlin
et al., 2019), LMs learn to encode various knowl-
edge from text corpora and produce informative
representations for downstream tasks (Petroni et al.,
2019; Bosselut et al., 2019; Raffel et al., 2020).
Equal senior authorship.
1Available at https://github.com/michiyasunaga/
LinkBERT .
Language Model[CLS] The Tidal Basin [SEP] [MASK] [MASK] trees... ... [SEP] Segment ASegment BJap"
Petroni et al.,"
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from text corpora and produce informative
representations for downstream tasks (","Petroni et al.,
2019; Bosselut et al., 2019; Raffel et al., 2020).
Equal senior authorship.
1Available at https://github.com/michiyasunaga/
LinkBERT .
Language Model[CLS] The Tidal Basin [SEP] [MASK] [MASK] trees... ... [SEP] Segment ASegment BJapanese cherryMasked language modeling (MLM)Document relation prediction (DRP)●Linked ●Random ●Contiguous 
Corpus with Document Links (e.g. hyperlink, reference)Doc 2Doc 5Doc"
Bosselut et al.,"0), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from text corpora and produce informative
representations for downstream tasks (Petroni et al.,
2019; ","Bosselut et al., 2019; Raffel et al., 2020).
Equal senior authorship.
1Available at https://github.com/michiyasunaga/
LinkBERT .
Language Model[CLS] The Tidal Basin [SEP] [MASK] [MASK] trees... ... [SEP] Segment ASegment BJapanese cherryMasked language modeling (MLM)Document relation prediction (DRP)●Linked ●Random ●Contiguous 
Corpus with Document Links (e.g. hyperlink, reference)Doc 2Doc 5Doc 4Doc 6Doc 1Doc 3
CreateLM inputsTrain LMsSegment AS"
 Raffel et al.,"l
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from text corpora and produce informative
representations for downstream tasks (Petroni et al.,
2019; Bosselut et al., 2019;"," Raffel et al., 2020).
Equal senior authorship.
1Available at https://github.com/michiyasunaga/
LinkBERT .
Language Model[CLS] The Tidal Basin [SEP] [MASK] [MASK] trees... ... [SEP] Segment ASegment BJapanese cherryMasked language modeling (MLM)Document relation prediction (DRP)●Linked ●Random ●Contiguous 
Corpus with Document Links (e.g. hyperlink, reference)Doc 2Doc 5Doc 4Doc 6Doc 1Doc 3
CreateLM inputsTrain LMsSe"
Liu et al.,"us applications, including
answering a question “What trees can you see at Tidal Basin?”.
We aim to leverage document links to incorporate more
knowledge into language model pretraining.
However, existing LM pretraining methods typ-
ically consider text from a single document in each
input context (","Liu et al., 2019; Joshi et al., 2020)
and do not model links between documents. This
can pose limitations because documents often have
rich dependencies (e.g. hyperlinks, references), and
knowledge can span across documents. As an exam-
ple, in Figure 1, the Wikipedia article “Tidal Basin,
Washingto"
 Joshi et al.,". “Tidal Basin has Japanese cherry
trees”), which can be useful for various applications, including
answering a question “What trees can you see at Tidal Basin?”.
We aim to leverage document links to incorporate more
knowledge into language model pretraining.
However, existing LM pretraining methods typ-
ically consider text from a single document in each
input context (Liu et al., 2019;"," Joshi et al., 2020)
and do not model links between documents. This
can pose limitations because documents often have
rich dependencies (e.g. hyperlinks, references), and
knowledge can span across documents. As an exam-
ple, in Figure 1, the Wikipedia article “Tidal Basin,
Washington D.C.” (left) describes that the basin
hosts “National Cherry Blossom Festival”, and the
hyperlinked artic"
Margolis et al.,"ontext ( linked ), besides the existing options of placing a single document ( contiguous ) or a pair
of random documents ( random ) as in BERT. We then train the LM with two self-supervised objectives: masked language modeling
(MLM), which predicts masked tokens in the input, and document relation prediction (DRP), which classiﬁes the relation of
the two text segments in the input ( contiguous ,random , orlinked ) (§4.2).
even make discoveries (","Margolis et al., 1999).
In this work, we propose LinkBERT , an effective
language model pretraining method that incor-
porates document link knowledge. Given a text
corpus, we obtain links between documents such as
hyperlinks, and create LM inputs by placing linked
documents in the same context, besides the existing
option of placing a single document or random doc-
uments as in BERT. Speciﬁcally, as in Figure 2, after
sampling an anchor text seg"
